product_id,product_name,category_path,price
1001,,,58.97
1002,,,2048.5
1003,,,7639
1006,,,59.9
1007,,,89.99
1008,,,49.99
1009,,,69
1010,,,89.99
1011,,,139.99
1012,,,69
1015,,,89.99
1016,,,69
1017,,,399
1018,,,89.99
1020,,,89
1022,,,89.99
1023,,,89.99
1024,,,89.99
1025,,,349
1026,,,139.99
1027,,,56
1028,,,39
1029,,,49.99
1030,,,739
1031,,,79.9
1032,,,688.78
1033,,,3029
1034,,,1079
1035,,,2199.9
1036,,,639
1037,,,799
1038,,,1117.01
1039,,,269
1041,,,79.9
1042,,,129
1044,,,79.9
1045,,,59.9
1046,,,61.18
1047,,,89.9
1048,,,63.49
1049,,,17.9
1050,,,37.9
1051,,,76.9
1052,,,78.9
1053,,,42.9
1054,,,32.99
1055,,,32.99
1056,,,29.99
1057,,,19.99
1058,,,24.99
1060,,,34.99
1062,,,36.99
1063,,,75.99
1064,,,380.9
1066,,,2065
1067,,,207.33
1068,,,999
1069,,,979
1070,,,609
1071,,,689
1072,,,299
1073,,,129
1074,,,86.28
1075,,,1998.14
1076,,,2399
1077,,,3777
1078,,,5126
1079,,,4598
1081,,,5259
1082,,,34.99
1083,,,8.99
1084,,,99.99
1085,,,34.99
1086,,,24.9
1087,,,34.99
1088,,,32.99
1089,,,37.9
1090,,,33.99
1091,,,118.9
1093,,,34.99
1094,,,17.99
1095,,,34.99
1096,,,36.99
1097,,,49.99
1098,,,16.9
1099,,,75
1103,,,49.9
1104,,,37.99
1106,,,17.99
1107,,,34.99
1108,,,28.9
1109,,,33.99
1110,,,82.9
1111,,,32.9
1112,,,8.9
1113,,,16.9
1114,,,32.99
1116,,,45.9
1117,,,79.99
1118,,,14.9
1119,,,78
1120,,,20.9
1121,,,29.99
1122,,,73
1124,,,94
1125,,,69.9
1126,,,99.99
1127,,,41
1128,,,14.99
1129,,,89.99
1130,,,49.99
1131,,,34.99
1132,,,4.99
1133,,,19.99
1134,,,38.99
1135,,,18.9
1136,,,199.9
1137,,,11.9
1138,,,47.79
1139,,,71.99
1140,,,12.99
1142,,,23.9
1143,,,25.49
1145,,,31.9
1146,,,24.9
1147,,,19.99
1148,,,169
1149,,,56.9
1150,,,25.9
1151,,,11.9
1152,,,32.99
1154,,,40.9
1156,,,4.99
1157,,,34.99
1158,,,36.9
1159,,,121.9
1160,,,11.9
1161,,,18.9
1162,,,30.9
1163,,,17.99
1165,,,19.99
1168,,,24.99
1169,,,9.99
1170,,,4.99
1171,,,142.99
1172,,,31.9
1173,,,34.9
1174,,,8.99
1175,,,122.99
1176,,,27.9
1177,,,34.99
1178,,,9.99
1179,,,14.99
1180,,,24.9
1181,,,24.9
1182,,,36.9
1183,,,40.9
1185,,,12.9
1186,,,18.24
1187,,,13
1188,,,55
1189,,,17.9
1190,,,70.9
1191,,,19.99
1192,,,76.9
1194,,,34.99
1196,,,46.99
1199,,,63.9
1200,,,23.9
1201,,,327.47
1204,,,19.99
1205,,,23.9
1207,,,24.99
1208,,,13.79
1209,,,15.47
1210,,,33.9
1212,,,102.9
1213,,,5
1214,,,18.99
1217,,,19.9
1218,,,39.99
1219,,,34.99
1221,,,31.9
1222,,,245
1223,,,32.99
1224,,,39.9
1225,,,30
1226,,,41.9
1227,,,24.99
1228,,,24.99
1229,,,35
1230,,,47.7
1231,,,18.24
1232,,,18.24
1233,,,109
1234,,,193
1235,,,34.99
1236,,,31.99
1237,,,35.99
1238,,,34.99
1239,,,20.9
1240,,,19.9
1241,,,27.99
1242,,,62.48
1243,,,19.99
1244,,,9.99
1245,,,34.99
1246,,,33.99
1247,,,63.99
1249,,,39.99
1250,,,23.9
1252,,,12.9
1253,,,39.9
1254,,,55.9
1255,,,32.9
1256,,,36.99
1257,,,9.9
1258,,,13.99
1259,,,73.9
1260,,,74.9
1261,,,9.99
1262,,,14.99
1263,,,34.99
1264,,,11.9
1265,,,26.99
1266,,,47.9
1267,,,23.9
1268,,,25.9
1269,,,19.99
1271,,,189
1273,,,29.9
1274,,,27.9
1275,,,54.9
1276,,,1816.97
1277,,,2317.02
1278,,,78.9
1279,,,49.99
1280,,,89
1281,,,64.8
1282,,,89.99
1283,,,99.99
1284,,,49.9
1287,,,129
1288,,,119
1289,,,129
1290,,,169
1291,,,168.79
1292,,,189
1293,,,44.99
1294,,,112.28
1295,,,69.99
1297,,,119
1298,,,219
1299,,,109
1300,,,169
1301,,,149
1302,,,135
1303,,,59.99
1304,,,29.99
1305,,,111.99
1306,,,79.99
1307,,,59.99
1308,,,99.99
1309,,,94.53
1310,,,79.99
1311,,,189.99
1312,,,99.9
1313,,,103
1314,,,49.99
1315,,,54.99
1316,,,249
1317,,,1303.96
1318,,,553
1319,,,14.99
